"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
539;"Manteca Clarificada/Ghee";"Coloque la manteca en la olla y lleve a fuego medio hasta que hierva, entonces, baje a mínimo y si la llama es alta coloque la olla encima de un difusor o plancha o tostador.  
 
Deje cocer unos 25 min. más, retirando de vez en cuando la espuma blanquecina, que se le forma. Está listo cuando tiene color ámbar.  
 
Retire del fuego, quite todo el resto de espuma, pues debe quedar transparente, vierta en un recipiente con tapa y deje enfriar destapado.";800,00;9;18;2;"Toda la materia grasa o sea la espuma que retiró se puede emplear en otras comidas. Un kg. de manteca rinde 800 g. de ghee.";9
540;"Ensalada Petroushka";"Vierta agua en la ollita, lleve a fuego fuerte hasta que hierva, añada los brotes/germinados, deje hervir 1 min., retire, vierta abundante agua fría para cortar la cocción, cuele y coloque en la ensaladera.   
 
Retire la piel y los huesos del pollo, corte la carne en trozos pequeños y colóquelos en la ensaladera. Luego, corte los palmitos en rodajas, y añádalos en la ensaladera.  
 
En el bol pequeño, mezcle el queso crema con el jugo, la salsa de soja/soya, la mostaza, la sal, la ralladura y las especias, mezclando bien.  

Luego, condimente la ensalada, distribuyendo bien para que se impregne y deje refrigerar por lo menos 15 min. antes de servir.";6,00;13;9;2;"Si desea servirla como entrada añada huevo duro, papas hervidas y remolacha cocida, también puede añadir arroz blanco hervido.";2
541;"Tomates Secos/Desecados en aceite de Oliva";"Encienda el horno a temperatura mínima, 110 C°, para precalentarlo. Mientras tanto, pase en paño, para secar bien los tomates/jitomates y córtelos, longitudinalmente, en mitades.   
 
Coloque la rejilla sobre la placa de horno y distribuya las mitades de tomate/jitomate sobre la rejilla. Lleve a cocer, dejando la puerta del horno un poco entreabierta, unas 2 hs. o hasta que estén bien secos.  
 
Una vez que los retiró del horno, vierta en la ollita el aceite y caliente a fuego medio unos 3 min.. Retire, deje entibiar, mientras que coloca las mitades de tomate en el frasco, apretando suavemente para que no quede aire.  
 
Vierta encima el aceite, que debe cubrir bien, selle y conserve refrigerado o en un lugar fresco.";700,00;8;8;2;"Estará lista para consumir en una semana y se conserva por 6 meses. Utilícelos triturados para untar rebanadas de Pan Toscano o Pan de Campo tostadas y habrá preparado la típica bruschetta italiana.";9
542;"Mermelada de Tomates";"Pique los tomates gruesamente y colóquelos en la olla, junto con el jugo/zumo de limón, las tiritas de cáscara/piel y el azúcar. Lleve a fuego lento hasta que rompa hervor, entonces, deje cocer 5 min. más.  
 
Entonces, con la espumadera, retire y deseche la espuma y añada las semillas de coriandro, si las utiliza. LLeve nuevamente a hervir, a fuego lento, revolviendo, cada 5 min., con la cuchara de madera. Debe dejar cocer 30 min. más a partir que entre en ebullición, sin dejar de revolver frecuentemente.   
 
Retire, deje entibiar, a temperatura ambiente y distribuya en los frascos. Conserve refrigerado.  
 
Se conservan, sellados, por 6 meses.";1,00;8;9;2;;4
543;"Peras Melba";"Coloque las mitades de pera en las copas, rocíelas con el kirsch y deje reposar, refrigerado, 30 min..  
 
Pasado ese tiempo, en el bol pequeño mezcle la mermelada con el almíbar caliente, para disolverla.  
 
Luego, distribuya el helado, en las copas, alrededor de la fruta, y, encima de ésta forme copos de Crema Chantilly. Salsee con la mermelada de frambuesas, espolvoree con las almendras y sirva enseguida.";4,00;11;9;2;"Una variación interesante es reemplazar la fruta por manzanas y acompañar con Helado de Ricotta.";2
544;"Manteca/Mantequilla de Anchoas";"Coloque los filetes en el mortero y aplástelos, mientras va incorporando de a poco la manteca/mantequilla, y siga machacando hasta que se haya formado una pomada.  
 
Entonces, coloque la preparación sobre un extremo de la hoja de papel alumnio y envuelva formado un cilindro. Lleve a refrigerar hasta que endurezca.";10,00;9;8;2;"Utilice para saborizar, pasta, hortalizas, como papas/patatas horneadas con cáscara/piel o hervidas o como dip para untar panes frescos o tostados o canapés.";2
545;"Vía Lactea";"En el bol vierta la leche condensada y la crema, bata unos 2 min., luego agregue la ralladura y el jugo y bata unos 3 min. más, hasta tener una crema espesa y homogénea.  
 
Vierta la preparación en el bol o ensaladera, rocíe con la ralladura. Lleve a refrigerar por lo menos 1 1/2 h., antes de servir, para terminar la decoración, distribuya en el centro las rodajas e inserte en los bordes las vainillas.";4,00;11;9;2;"Puede prepararlo con hasta 2 días de anticipación, si lo guarda en recipiente hérmetico.";2
546;"Sandwiches Tricolor";"En un bol pequeño, mezcle el atun, la mayonesa y el curry.  
 
Unte las rebanadas de pan con la mezcla de atún y coloque encima de cuatro los pepinitos. Luego, otra rebanada de pan y distribuya encima capas de lechuga, tomate y pepino, por último, termine con otra rebanada de pan.  
 
Corte los sandwiches por la mitad, en diagonal y pínchelos con escarbadiente para sujetar las capas.  
 
Conviene preparar los sandwiches justo antes de servirlos. Si desea prepararlos con antelación, tápelos con un paño húmedo y guarde en la heladera.";4,00;3;9;2;"Si to desea, puede tostar el pan. También puede usar otros rellenos como: huevo al curry, lonchas de roast- beef";2
547;"Petit Fours";"En la sartén, a fuego medio, siempre revolviendo, con la cuchara de madera, para que no se queme, tueste la avena, tarda unos 7min.. Cuando esté casi lista, agregue el sésamo, sin dejar de revolver, hasta que esté tostado, tarda más o menos unos 3 min..   
 
Luego agregue el coco, sobre el fuego, si desea tostarlo o retire, primero la sartén. Añada después, en este caso fuera de la hornalla las pasas de uva y los higos, siempre mezclando bien. Por último, incorpore la miel de a poco y haga una masa.   
 
Untese las manos con una sustancia grasa y forme bolitas de 3 cm. de diámetro. Luego, colóquelas en la fuente y lleve a refrigerar durante unos 20 min. como mínimo.";8,00;14;9;2;"Para darles mejor presentación, puede pasarlos por coco rallado o azúcar impalpable e incluso ponerlos el pirotines. También es posible hacerlos con mucha anticipación y guardarlos, en un recipiente tapado. herméticamente, en la heladera o el freezer.";2
548;"Crema de hierbas";"En el bol mezcle bien, con la cuchara de madera, la crema y el yogur. A continuación, incorpore el cebollín o cebolla de verdeo, el tomillo, el ajo y la salsa de ají. Se sirve a temperatura ambiente.";4,00;9;9;2;"Sírvala como acompañamiento de las papas fritas o hervidas.";2
549;"Tomates Gratinados";"Encienda el horno, a temperatura media/alta, para precalentarlo. Cuando hayan pasado 10 min., en la sartén, a fuego medio derrita 2 cucharadas de manteca, añada la cebolla y fríala hasta que esté transparente.  
 
Luego, colóquela en el bol junto con el tomate, l el azúcar, mezcle y salpimente, a gusto. Después, unte con un poco de manteca la fuente, distibruya una capa de la mezcla, espolvoree con abundante pan rallado y repitiendo la operación en este orden hasta finalizar con una capa de pan rallado.   
 
Luego, distribuya la manteca restante cortada en trocitos y lleve a hornear unos 40 min. o hasta que la superficie esté dorada. Sirva caliente.";4,00;13;13;3;"Puede acompañar Albóndigas de lentejas al queso, Albóndigas de Pollo, Albóndigas Vegetarianas, Hamburguesa de Lentejas, Hamburguesas de Cordero, Hamburguesas de Tofú.";2
551;"Merengue Suizo";"Para preparar el baño María llene la olla hasta las 2/3 partes de su capacidad de agua y lleve a fuego bajo. En el bol bata las claras hasta que estén espumosas, luego, añada el azúcar.  
 
Lleve la preparación al baño María y continúe batiendo unos 10 min., sin que el agua hierva, hasta que levantando de golpe la paleta de la batidora se hagan picos firmes. Entonces, retire y utilice.";1,00;14;9;2;"Luego, de decorar puede llevar a dorar, en horno precalentado a temperatura suave, rocíado previamente con azúcar impalpable, estará listo en unos 12 min. Para decorar tortas se puede colorear, con una pizca o gotitas de colorante para repostería, que se agrega cuando comienza el baño María.";2
552;"Ñoquis Rellenos";"Vierta abundante agua en la olla, y lleve a fuego medio/alto para que hierva. En el bol, mezcle el puré con la manteca, añada sal, pimienta y nuez moscada mezclando bien.  
 
Luego, añada, mezclando bien, de a poco la harina, hasta tener un bollo tierno y, sobre una superficie espolvoreada con harina forme cilíndros de unos 2 cm. de grosor.  
 
Después, córtelos en porciones de unos 4 cm. de largo y espolvoreelos con harina. En el bol, mezcle la muzzarella con el jamón y el perejil, si lo desea puede triturar para formar una pasta, para que resulte más fácil rellenar.  
 
Luego, tome trozos de la masa coloque un poco de relleno en el centro y cúbralo con masa, formando una esfera pequeña, del tamaño de una pelota de ping pong, tomando la precaución de pasarlos por harina una vez que esté formada.  
 
Cocine los ñoquis en agua hirviente, a fuego alto, hasta que suban a la superficie, más o menos 4 min. a partir que el agua hierve nuevamente. Apague la hornalla, vierta un chorro de agua fría para cortar el hervor y, con la espumadera, retire los ñoquis, colocándolos en la fuente.";6,00;17;8;3;"Puede servir bañados en manteca/mantequilla derretida, espolvoreados con pimienta y queso parmesano rallado o bañados en Salsa Rosada/Roseé/ Aurora.";2
553;"Crema de Paltas";"Pele las paltas, retire el hueso y córtelas en trozos. Colóquelas junto con los otros ingredientes en la procesadora o licuadora y procese a potencia máxima hasta que logre una crema, unos 4 min.  
 
Distribuya la crema en los bols y lleve a refrigerar por lo menos una 1 1/2 h. o hasta el momento de servir. Para presentar decore con una ramita de perejil en el centro, corte las rodajas de limón en mitades y colóquelas paradas en los bordes, clavándolas en la crema.";4,00;13;18;2;"Puede completar la presentación puede poner por porción 2 langostinos o camarones, pelados, preferentemente con la cola y la cabeza.";2
554;"Fresas/Frutillas Patti";"Ponga las frutillas/fresas en el bol, espolvoree con 2 cucharadas de azúcar impalpable y rocíelas con el jugo de naranjas. LLeve a refrigerar por 1 h.  
 
Pasado ese tiempo o en el momento de servir, vierta agua caliente en el vaso, sumerga la cuchara y retire 4 porciones de helado de chocolate sumergiendo previamente la cuchara antes de sacar cada porción. Distribúyalas en el centro de la fuente.  
 
Enseguida, haga lo mismo con el helado de vainilla, colocando las porciones alrededor de las del otro sabor. Después, coloque las frutillas/fresas alrededor del helado y rocíelas con el licor.  
 
Luego, espovoréelas con el azúcar impalpable/glas restante, encima del helado esparza el chocolate rallado y presente, acompañando por separado con Crema Chantilly.";4,00;11;9;2;"Puede variar a su gusto los sabores del helado y si quiere adelantar distribuya las porciones de helado en la fuente y mantenga en el freezer hasta el momento de armar el postre.";2
555;"Palets de Dames";"En el bol mediano coloque las pasas junto con el ron o el cognac y déjelas en remojo 1/2 h.. Una vez que se haya cumplido ese tiempo en el bol grande, bata la manteca blanda con el azúcar hasta lograr una crema.   
 
Encienda el horno a temperatura media/alta, para precalentarlo. Escurra las pasas y rebócelas en la fécula. Añada a la crema, los huevos de a uno por vez, luego, las pasas. Después, tamice la fécula y añádala a la preparación, mezclando muy bien con la espátula.  
 
Coloque la mezcla dentro de la manga y luego dispóngala en tiras sobre una placa enmantecada. Lleve la placa al horno y cocine, a temperatura media, hasta que comiencen a dorarse, más o menos unos 20 min..  
 
Retire y deje enfriar a temperatura ambiente.";6,00;14;3;3;"Son ideales para acompañar el té o café. En recipiente cerrado se conservan frescas por largo tiempo";2
556;"Mousse de Chocolate Blanco";"En una ollita, vierta agua hasta 1/3 de su capacidad y lleve a calentar a fuego medio/bajo. En un bol mediano, vierta la crema, el azúcar impalpable y bata hasta que comience a tener consistencia, no debe quedar muy firme.  
 
Coloque el chocolate en el bol térmico, retire la ollita del fuego, coloque el bol, que debe quedar suspendido, sin tocar el agua, pues el chocolate se derrite con el vapor.  
 
Casque los huevos, separe las claras de las yemas, colocándolas en diferentes bols medianos. En la otra ollita, vierta 2 cucharadas de agua, ablande la gelatina y lleve a fuego lento, revolviendo hasta que se disuelva, unos 3 min.  
 
Retírela y mézclela, muy bien, con las yemas. Deje enfriar, mientras echa las pizca de sal en las claras y las bate a punto nieve bien firme. Luego, incorpore la crema y el chocolate a las yemas, mezclando bien hasta tener una preparación homogénea.  
 
Por último, incorpore las claras a punto nieve, mezclando con movimientos envolventes, de abajo hacia arriba, para que la preparación no se baje. Lleve a refrigerar unas 5 h. o al freezer 1 h.  
 
Para servir, vierta agua en un bol pequeño, moje 2 cucharas, haga quenelles, tomando una porción de la mousse y pasándola de una a otra cuchara hasta tener una forma similar a un pequeño huevo.";6,00;11;3;2;"Sirva acompañado de Palets de Dames, una encima de cada quenelles o lenguitas de gato, sobre un piso de Crema Inglesa.";2
